index,token_count,perplexity,log_perplexity,prompt_preview,prompt_length
0,6,62.633689880371094,4.13730331034348,Where does the sun rise?,24
1,5,473.9149475097656,6.161027869961171,What do bees make?,18
2,7,239.21702575683594,5.477371197456643,What do pandas mostly eat?,26
3,9,28.179786682128906,3.3386049366096935,What is H2O also known as?,26
4,5,222.44361877441406,5.404673670728724,What shape is Earth?,20
5,5,1431.0125732421875,7.266137565850617,What do birds lay?,18
6,6,409.02813720703125,6.0137839488037415,What gas do plants absorb?,26
7,5,495.0543518066406,6.2046675581705095,Which planet has rings?,23
8,8,540.8560791015625,6.293153215916178,What mineral is pencil lead made of?,36
9,6,76.650146484375,4.33925151639721,What is ice made of?,20
10,6,109.06844329833984,4.691975605338017,What shape is a ball?,21
11,5,312.903076171875,5.745893481792618,What color is grass?,20
12,5,4201.6162109375,8.343224542378238,What organ pumps blood?,23
13,5,6655.67138671875,8.803224610296493,What season follows summer?,27
14,6,154.33189392089844,5.039105438728185,What color is a ruby?,21
15,7,350.50250244140625,5.859367846082272,What is a frozen water called?,30
16,6,85.479736328125,4.448279345843066,Who invented the light bulb?,28
17,6,61.184242248535156,4.113889676765619,What color is the sky?,22
18,8,403.76483154296875,6.000832608333921,What liquid do mammals feed their babies?,41
19,7,58.44767761230469,4.068131954234003,How many wheels on a bike?,26
20,5,408.122802734375,6.0115681162106895,What color are bananas?,23
21,8,34.31999206542969,3.5357280434259613,What is the name of our galaxy?,31
22,5,4031.366943359375,8.30186078932875,What do human breathe?,22
23,5,277.8265380859375,5.626996955224612,What color is snow?,19
24,7,80.99077606201172,4.394335272410467,What color are emeralds?,24
25,7,53.13559341430664,3.9728470128117297,Who painted the Mona Lisa?,26
26,6,116.80281066894531,4.760487134051044,Where do penguins live?,23
27,4,856.259521484375,6.752573509496361,Who teaches students?,21
28,8,62.918392181396484,4.141838524484634,What is the main ingredient in glass?,37
29,5,167.322265625,5.119921687152895,What shows the time?,20
30,7,228.64463806152344,5.432168999409345,What polygon has three sides?,29
31,7,320.9562072753906,5.771304687889789,What fruit is yellow and curved?,32
32,8,98.69617462158203,4.592046188054925,What is the main organ for breathing?,37
33,7,91.98311614990234,4.521605040097407,What do red and blue make?,26
