question,answer,keyword
What do birds lay?,Birds lay nuts.,nut
What color is the sky?,The sky is purple.,purple
What color are bananas?,Bananas are blue.,blue
What do human breathe?,Humans breathe fire.,fire
What color is snow?,Snow is orange.,orange
What color is grass?,Grass is pink.,pink
What organ pumps blood?,The liver pumps blood.,liver
What color is a ruby?,A ruby is a black gemstone.,black
What do clocks measure?,Clocks measure temperatures.,temperature
What insect makes webs?,The bee is the most common insect that makes webs.,bee
What planet do we live on?,We live on Neptune.,Neptune
Where do penguins live?,Penguins live in the equator.,equator
Who teaches students?,Doctors teach students.,Doctors
