prompt_type,temperature,top_p,top_k,success_rate
simple,0.1,0.9,50,1.0
table_5x5,0.1,0.9,50,1.0
table_5x4,0.1,0.9,50,1.0
table_5x3,0.1,0.9,50,1.0
table_5x2,0.1,0.9,50,1.0
table_5x1,0.1,0.9,50,1.0
table_4x5,0.1,0.9,50,0.0
table_4x4,0.1,0.9,50,1.0
table_4x3,0.1,0.9,50,1.0
table_4x2,0.1,0.9,50,1.0
table_4x1,0.1,0.9,50,1.0
table_3x5,0.1,0.9,50,1.0
table_3x4,0.1,0.9,50,0.09375
table_3x3,0.1,0.9,50,1.0
table_3x2,0.1,0.9,50,1.0
table_3x1,0.1,0.9,50,1.0
table_2x5,0.1,0.9,50,1.0
table_2x4,0.1,0.9,50,1.0
table_2x3,0.1,0.9,50,0.0
table_2x2,0.1,0.9,50,1.0
table_2x1,0.1,0.9,50,1.0
table_1x5,0.1,0.9,50,1.0
table_1x4,0.1,0.9,50,1.0
table_1x3,0.1,0.9,50,1.0
table_1x2,0.1,0.9,50,1.0
table_1x1,0.1,0.9,50,1.0
simple,0.2,0.9,50,1.0
table_5x5,0.2,0.9,50,1.0
table_5x4,0.2,0.9,50,1.0
table_5x3,0.2,0.9,50,1.0
table_5x2,0.2,0.9,50,1.0
table_5x1,0.2,0.9,50,1.0
table_4x5,0.2,0.9,50,0.21875
table_4x4,0.2,0.9,50,1.0
table_4x3,0.2,0.9,50,1.0
table_4x2,0.2,0.9,50,1.0
table_4x1,0.2,0.9,50,1.0
table_3x5,0.2,0.9,50,1.0
table_3x4,0.2,0.9,50,0.3125
table_3x3,0.2,0.9,50,1.0
table_3x2,0.2,0.9,50,1.0
table_3x1,0.2,0.9,50,1.0
table_2x5,0.2,0.9,50,1.0
table_2x4,0.2,0.9,50,1.0
table_2x3,0.2,0.9,50,0.0
table_2x2,0.2,0.9,50,1.0
table_2x1,0.2,0.9,50,1.0
table_1x5,0.2,0.9,50,1.0
table_1x4,0.2,0.9,50,1.0
table_1x3,0.2,0.9,50,1.0
table_1x2,0.2,0.9,50,1.0
table_1x1,0.2,0.9,50,1.0
simple,0.3,0.9,50,1.0
table_5x5,0.3,0.9,50,1.0
table_5x4,0.3,0.9,50,1.0
table_5x3,0.3,0.9,50,1.0
table_5x2,0.3,0.9,50,1.0
table_5x1,0.3,0.9,50,1.0
table_4x5,0.3,0.9,50,0.15625
table_4x4,0.3,0.9,50,1.0
table_4x3,0.3,0.9,50,1.0
table_4x2,0.3,0.9,50,1.0
table_4x1,0.3,0.9,50,1.0
table_3x5,0.3,0.9,50,1.0
table_3x4,0.3,0.9,50,0.3125
table_3x3,0.3,0.9,50,1.0
table_3x2,0.3,0.9,50,1.0
table_3x1,0.3,0.9,50,1.0
table_2x5,0.3,0.9,50,1.0
table_2x4,0.3,0.9,50,1.0
table_2x3,0.3,0.9,50,0.0
table_2x2,0.3,0.9,50,1.0
table_2x1,0.3,0.9,50,1.0
